DATE,GDPC1_GDPPOT
1990-04-01,-0.29762927225786176805
1990-07-01,-0.89837944589711375159
1990-10-01,-2.4401623335169715
1991-01-01,-3.5159855688307511
1991-04-01,-3.3715952991226107
1991-07-01,-3.4831313956535239
1991-10-01,-3.7446889183886663
1992-01-01,-3.1962643117690943
1992-04-01,-2.7590548430855156
1992-07-01,-2.4251936890132509
1992-10-01,-2.0427175524883458
1993-01-01,-2.5164731726853694
1993-04-01,-2.5960379166822871
1993-07-01,-2.7808921699147537
1993-10-01,-2.1148800111028025
1994-01-01,-1.82315237101383723454
1994-04-01,-1.15428124017343513445
1994-07-01,-1.24172577876072059999
1994-10-01,-0.77951503872791316151
1995-01-01,-1.09229743565406947352
1995-04-01,-1.46205737384809576025
1995-07-01,-1.28790368256057328128
1995-10-01,-1.29222419891487926257
1996-01-01,-1.23448690938628912570
1996-04-01,-0.31493062701397976107
1996-07-01,-0.19825466245453735655
1996-10-01,0.01216027571348605548
1997-01-01,-0.21012451045786514458
1997-04-01,0.53667192332239648319
1997-07-01,0.84075284050593837217
1997-10-01,0.72806069207938785812
1998-01-01,0.73548228467136024107
1998-04-01,0.64679367735247743692
1998-07-01,0.87542430044927893709
1998-10-01,1.45909103222840990618
1999-01-01,1.36068997947262497821
1999-04-01,1.15050728841026296131
1999-07-01,1.42591418521868502345
1999-10-01,2.0146406851298987
2000-01-01,1.31625328002972543104
2000-04-01,2.1143561111238865
2000-07-01,1.22901826609901990120
2000-10-01,0.89926819978605603112
2001-01-01,-0.29578059077754619234
2001-04-01,-0.49048727375280021544
2001-07-01,-1.6435261193771780
2001-10-01,-2.0770648107149409
2002-01-01,-1.9320286470571996
2002-04-01,-1.9654792151664864
2002-07-01,-2.1875043864760960
2002-10-01,-2.6604267489978486
2003-01-01,-2.7515525222591002
2003-04-01,-2.4808822308455354
2003-07-01,-1.4576473875417652
2003-10-01,-0.93211443018553034963
2004-01-01,-0.98717069999429994563
2004-04-01,-0.84703869071720802834
2004-07-01,-0.55903552799048521129
2004-10-01,-0.19491079958924485458
2005-01-01,0.27368206963027052848
2005-04-01,0.14295406359772134166
2005-07-01,0.32347156547439217320
2005-10-01,0.30458672328190139038
2006-01-01,1.08300687711371336916
2006-04-01,0.77411487633434669730
2006-07-01,0.39720531907977749173
2006-10-01,0.74027238487309245897
2007-01-01,0.53195982612183714829
2007-04-01,0.66521142181479965231
2007-07-01,0.75850011697350671254
2007-10-01,0.86371090844312440083
2008-01-01,-0.04463654022871028461
2008-04-01,0.04919287270070766380
2008-07-01,-0.92921364995153763414
2008-10-01,-3.5049567526601787
2009-01-01,-5.0036147590365609
2009-04-01,-5.5092878794869903
2009-07-01,-5.4912649224535332
2009-10-01,-4.7967034972060693
2010-01-01,-4.6369318999218432
2010-04-01,-4.0390636361237203
2010-07-01,-3.6384145544542188
2010-10-01,-3.4906347758126840
2011-01-01,-4.0857163590978872
2011-04-01,-3.8116891034547198
2011-07-01,-4.2356667322291855
2011-10-01,-3.5602170274597663
2012-01-01,-3.1802715742790863
2012-04-01,-3.1589368008591364
2012-07-01,-3.4164717531363661
2012-10-01,-3.7418625921675286
2013-01-01,-3.3464810711598556
2013-04-01,-3.6551461014921097
2013-07-01,-3.3395628293338447
2013-10-01,-3.1053064356528598
2014-01-01,-3.8978099678284066
2014-04-01,-3.1220445989935976
2014-07-01,-2.4611135192041501
2014-10-01,-2.4916825404208575
2015-01-01,-2.1678054510399054
2015-04-01,-2.0679728586368115
2015-07-01,-2.2124896357156136
2015-10-01,-2.5204958895103812
2016-01-01,-2.3919535250474583
2016-04-01,-2.5349565860230982
2016-07-01,-2.3811391990518182
2016-10-01,-2.3245543784169699
2017-01-01,-2.3325826884659219
2017-04-01,-2.2682194752302273
2017-07-01,-1.9007894623663274
2017-10-01,-1.3672632912440633
2018-01-01,-1.1497297951735004
2018-04-01,-0.93787983079138289241
2018-07-01,-0.71160712038223907763
2018-10-01,-1.01920526692391173581
2019-01-01,-0.97086397544636046088
2019-04-01,-0.79718336803306354991
2019-07-01,-0.41438001889069907377
2019-10-01,-0.46891589278233783124
2020-01-01,-2.1100370089933023
2020-04-01,-10.8188306031811211
2020-07-01,-4.1859283529846953
2020-10-01,-3.6811228647485767
2021-01-01,-2.6220688797582781
2021-04-01,-1.3955216058322133
2021-07-01,-1.1877454420531294
2021-10-01,0.04234559377300338940
2022-01-01,-0.81434033912345234664
2022-04-01,-1.40239614436336154027
2022-07-01,-1.05799909320142818308
2022-10-01,-0.88168560879519811885
2023-01-01,-1.01351146538481470870
2023-04-01,.
2023-07-01,.
2023-10-01,.
2024-01-01,.
2024-04-01,.
2024-07-01,.
2024-10-01,.
2025-01-01,.
2025-04-01,.
2025-07-01,.
2025-10-01,.
2026-01-01,.
2026-04-01,.
2026-07-01,.
2026-10-01,.
2027-01-01,.
2027-04-01,.
2027-07-01,.
2027-10-01,.
2028-01-01,.
2028-04-01,.
2028-07-01,.
2028-10-01,.
2029-01-01,.
2029-04-01,.
2029-07-01,.
2029-10-01,.
2030-01-01,.
2030-04-01,.
2030-07-01,.
2030-10-01,.
2031-01-01,.
2031-04-01,.
2031-07-01,.
2031-10-01,.
2032-01-01,.
2032-04-01,.
2032-07-01,.
2032-10-01,.
2033-01-01,.
2033-04-01,.
2033-07-01,.
2033-10-01,.
